Lieu_ID,Lieu,Lieu_Proche_ID,Lieu_Proche,Distance
ChIJuZt_pN5x5kcRyvXjH5Psbyw,Bibliothèque Jourdan-SHS de l'École normale supérieure,ChIJcV_3cotx5kcRuETegVheTB0,LLYRE SPECTACLE,1.3411
ChIJLYU2jNlx5kcRhzIo3606KZM,Purdey,ChIJL3BIWChx5kcRhTX3ZW6ji5E,La Ferrandaise,1.3412
ChIJGaKLItxz5kcRRJh8wJ92gao,LE TOTEM,ChIJNQbJ6PZx5kcRHD1_lEWVEpg,Bibliothèque Buffon,1.3433
ChIJ0zQ4BMJv5kcRPegeI0Ev4ho,Bar de L'Escadrille,ChIJVYQc4ehv5kcRxAmY5t4c54k,Le Speakeasy,1.3434
ChIJezQXERtu5kcRD6UTr5QwPRI,Europa Cinemas,ChIJs1epBuVt5kcRJ1C_dahGMGA,Films Grand Huit,1.3435
ChIJtZ_y1Lhv5kcRC91YMgHWABM,Lombardi,ChIJiU38Yjtu5kcRRKQHvNUM-2k,Un jour à Peyrassol - Restaurant de truffes,1.3438
ChIJq6q6ZZBx5kcRXWw3VviorF0,Compagnie théâtrale l'Embarcadère,ChIJweT7E19x5kcRkbFPaPuumEY,Apollo Films,1.3452
ChIJy8liux9u5kcROXQfJ7-ESm4,Dernier Bar avant la Fin du Monde,ChIJfe3aNRpu5kcR3DGOBJZ_8Bk,Roxo Cocktail Bar,1.3455
ChIJfe3aNRpu5kcR3DGOBJZ_8Bk,Roxo Cocktail Bar,ChIJy8liux9u5kcROXQfJ7-ESm4,Dernier Bar avant la Fin du Monde,1.3455
ChIJhTzm_iZw5kcRiqTi4vBQMyg,Eiffel Turenne Hotel - Paris,ChIJ629Ficxx5kcRmUGn4qylrRQ,Hôtel Waldorf Montparnasse,1.3459
ChIJ629Ficxx5kcRmUGn4qylrRQ,Hôtel Waldorf Montparnasse,ChIJhTzm_iZw5kcRiqTi4vBQMyg,Eiffel Turenne Hotel - Paris,1.3459
ChIJVVWFpdZx5kcRGLSBsMeErOA,Les 150 ans de la Ligue,ChIJDyucmBhu5kcRxIxCIS4fMwE,BCVP ESAD,1.3467
ChIJDyucmBhu5kcRxIxCIS4fMwE,BCVP ESAD,ChIJVVWFpdZx5kcRGLSBsMeErOA,Les 150 ans de la Ligue,1.3467
ChIJsT7il4tv5kcRyChiBrqrab8,Monument à Eugène Carrière,ChIJDYBdXrJv5kcR2X0iKiJpPQs,Hôtel Condamine,1.347
